BPA,Address,Description,PTS Existing Units,PTS Proposed Units,Proposed Units,Net Units,Net Units Completed,ADU/Legalization Units,First Completion Date,Latest Completion Date,Extremely Low Income,Very Low Income,Low Income,Moderate Income,Affordable Units,Market Rate,Affordable Units Estimate,Supervisor District,Analysis Neighborhood,Planning Dist.,Plan Area,Form No.,Permit Type,Issued Date,Authorization Date,Zoning District,Project Affordability Type,BMR Reporting Year,BlockLot,PPTS Project ID
2.0071E+11,634 PLYMOUTH AV,TO DEMOLISH 1 STORY ACCESSORY STRUCTURE.,1,0,0,-1,-1,0,4/14/2011,4/14/2011,0,0,0,0,0,-1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,6,Full Building Permit,1/13/2011,1/13/2011,RH-1,,2011,7067014,Multiple
2.00705E+11,769 TREAT AV,PROPOSED REPAIR OF FIRE DAMAGE AND PROPOSED HORIZONTAL AND VERTICAL ADDITION TO ACCOMODATE ONE ADDITIONAL DWELLING UNIT.,2,3,3,1,1,0,4/15/2011,4/15/2011,0,0,0,0,0,1,FALSE,9,Mission,8 - Mission,Mission (EN),3,Site Permit,11/3/2008,11/3/2008,RH-3,,2011,3612062,
2.0071E+11,636 PLYMOUTH AV,"TO DEMOLISH 1 STORY, SINGLE FAMILY DWELLING.",1,0,0,-1,-1,0,4/15/2011,4/15/2011,0,0,0,0,0,-1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,6,Full Building Permit,1/13/2011,1/13/2011,RH-1,,2011,7067014,Multiple
2.00612E+11,3540 RIVERA ST,"TO CLEAR NOV 200683549; LEGALIZATION OF ONE EXISTING LIVING UNIT, ON A LOT THAT WAS PREVIOUSLY SUBDIVIDED FROM LOT 22; SEE PERMIT APP: 2005-1123-8917. To Clear NOV 200683549.",1,1,0,-1,-1,0,4/22/2011,4/22/2011,0,0,0,0,0,-1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,3,Full Building Permit,4/8/2011,4/8/2011,RH-1,,2011,2172046,2008.0113
2.00807E+11,3436 ANZA ST,"HORIZONTAL FOUR STORY & VERTICAL TWO STORY ADDITION, CONVERT SINGLE FAMILY TO TWO RESIDENTIAL UNITS. FIRE SPRINKLERS, SHORING AND UNDERPINNING UNDER SEPARATE PERMITS.",1,2,2,1,1,0,4/22/2011,4/22/2011,0,0,0,0,0,1,FALSE,1,Outer Richmond,1 - Richmond,,3,Site Permit,10/2/2009,10/2/2009,RM-1,,2011,1519022B,
2.00811E+11,5 CYRUS PL,REMODEL & ADDITION-HORIZONTAL ADDITION AT REAR. VERTICAL ADDITION OF ONE STORY ABOVE (E) ROOF. EXPANSION OF BASEMENT TO CREATE ONE ADDITIONAL STORY BELOW AT CURRENT BASEMENT LEVEL. REAR YARD VARIANCE REQUIRED.,1,2,2,1,1,0,4/22/2011,4/22/2011,0,0,0,0,0,1,FALSE,3,Russian Hill,3 - Northeast,,3,Site Permit,3/8/2010,3/8/2010,RH-3,,2011,0155052,
2.00606E+11,676 16TH AV,"EXTENDING TO REAR OF YARD BY 14' - 4 1/2"" PLUS ADDITION OF 2 STORIES OVER (E) TO CREATE A NEW UNIT.",1,2,2,1,1,0,4/26/2011,4/26/2011,0,0,0,0,0,1,FALSE,1,Outer Richmond,1 - Richmond,,3,Site Permit,10/6/2008,10/6/2008,RH-2,,2011,1629022,
2.00612E+11,55 TRUMBULL ST,ERECT 3 STORIES 18 DWELLING UNITS BUILDING,0,18,18,18,18,0,4/27/2011,4/27/2011,0,1,1,1,3,15,FALSE,11,Excelsior,12 - South Central,,2,Full Building Permit,8/20/2009,8/20/2009,NCD-EXCELSIOR,Incl: On-Site BMR,2011,5868006,2004.0895
2.01003E+11,638 08TH AV,LOWER UNIT: IN-LAW UNIT LEGALIZATION WORK INCLUDES INTERIOR REMODING: EXISTING LAUNDRY ROOM CONVERTS TO A KITCHEN & REMOVAL OF INTERIOR DOOR & A WINDOW AT THE FAMILY ROOM.,1,2,2,1,1,1,4/29/2011,4/29/2011,0,0,0,0,0,1,FALSE,1,Inner Richmond,1 - Richmond,,3,Full Building Permit,7/14/2010,7/14/2010,RH-2,,2011,1637028,2009.1039
2.00608E+11,16 JESSIE ST,CONVERSION OF THE EXISTING OFFICE BUILDING INTO A RESIDENTIAL BUILDING INCLUDE UP TO 51 DWELLING UNITS AND NO OFF STREET PARKING WILL BE PROVIDED. AND SOME RETAIL SPACE AT THE GROUND FLOOR WILL BE REMANIED.,0,51,51,51,51,0,5/2/2011,5/2/2011,0,0,0,0,0,51,FALSE,6,Financial District/South Beach,4 - Downtown,Transit Center District,3,Site Permit,9/19/2007,2/1/2008,C-3-O(SD),,2011,3708022,2006.0134
2.01104E+11,48 MAJESTIC AV,"COMPLY W/COMPLAINT #201047278, 201042161, 200722263, 200799998,200675675, 200671184 : REMOVE ILLEGAL KITCHEN AT GROUND FLOOR, REMOVE (E) DOOR AT FIRST FLOOR.",1,1,0,-1,-1,0,5/2/2011,5/2/2011,0,0,0,0,0,-1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,8,Full Building Permit,4/11/2011,4/11/2011,RH-1,,2011,7049011,
2.0031E+11,1200 19TH ST,ERECT FOUR STORY TWO UNIT RESIDENTIAL BLDG,0,2,2,2,2,0,5/4/2011,5/4/2011,0,0,0,0,0,2,FALSE,10,Potrero Hill,9 - South of Market,Showplace Square/Potrero Hill (EN),2,Site Permit,10/21/2009,10/21/2009,RH-2,,2011,4038009,Multiple
2.00905E+11,192V NEY ST,ERECT A 3  STORIES SINGLE FAMILY DWELLING.,0,1,1,1,1,0,5/4/2011,5/4/2011,0,0,0,0,0,1,FALSE,11,Excelsior,12 - South Central,,2,Site Permit,11/25/2009,11/25/2009,RH-1,,2011,5891001,
2.01003E+11,1562 DOLORES ST,Convert (E) garage/First floor into second dwelling unit. Add 2' x 9' horizontal extension at first floor. (18 SQ. FT.),1,2,2,1,1,0,5/13/2011,5/13/2011,0,0,0,0,0,1,FALSE,8,Noe Valley,7 - Central,,3,Site Permit,7/9/2010,9/14/2010,RH-2,,2011,6618004,
2.01011E+11,56 BITTING AV,"COMPLY WITH NOV# 201074168-REMOVE SINK, STOVE, COUNTER & SELF IN PLAY ROOM. AREA AT GROUND FLOOR, RAISE FLOOR HEIGHT IN PLAY ROOM & HALLWAY AREA TO MATCH WITH (E) FLOOR HEIGHT IN BEDROOM AREA AT GROUND FLOOR",1,1,0,-1,-1,0,5/17/2011,5/17/2011,0,0,0,0,0,-1,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,8,Full Building Permit,11/17/2010,11/17/2010,RH-1,,2011,5428C011,
2.01005E+11,1226 10TH AV,"Comply with NOV# 201031561 of March 31, 2010. Remove non permitted kitchen on first floor. provide required space heating in front room of first floor.; CONVERT ILLEGAL GRND FLR DWELLING UNIT (BASEMENT) INTO ELGAL FLOOR OF OCUPANCY PER PLANS",1,1,0,-1,-1,0,5/18/2011,5/18/2011,0,0,0,0,0,-1,FALSE,7,Inner Sunset,14 - Inner Sunset,,8,Full Building Permit,7/1/2010,7/1/2010,RH-2,,2011,1741040,
2.00802E+11,1432 23RD AV,TO ERECT 3 STORY SINGLE FAMILY DWELLING.,0,1,1,1,1,0,5/27/2011,5/27/2011,0,0,0,0,0,1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,2,Site Permit,8/7/2008,8/7/2008,RH-1,,2011,1831057,
2.00912E+11,132 CLEMENT ST,REV TO PA# 2008/04/16/9829. EXTEND GROUND FLOOR RETAIL INTO EXTERIOR TRADESMEN HALLWAY. INSTALL NEW 3/3 X 6/6 WINDOW. CONVERT (E) 2ND & 3RD FLOORS FROM OFFICE TO RESIDENTIAL UNITS. INSTALL NEW KITCHEN IN BOTH UNITS. REMODEL (E) BATHROOMS W/ NEW FIXTURES. INSTALL NEW HALL & BEDROOM CLOSET @ BOTH UNIT,0,2,2,2,2,0,5/27/2011,5/27/2011,0,0,0,0,0,2,FALSE,1,Inner Richmond,1 - Richmond,,3,Site Permit,5/6/2010,8/10/2018,NCD-INNER CLEMENT,,2011,1431022,2009.0884
2.01104E+11,825 OCEAN AV,COMPLY WITH COMPLAINT 201114601. REMOVE ILLEGAL KITCHEN AT GR FLOOR. ADD LAUNDRY AT GROUND FLOOR,1,1,0,-1,-1,0,6/1/2011,6/1/2011,0,0,0,0,0,-1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,Balboa Park,8,Full Building Permit,4/21/2011,4/21/2011,NCT-OCEAN,,2011,6947001B,
2.00608E+11,1506 INNES AV,"ERECT 3 STORIES, 1 DWELLING UNIT BUILDING.",0,1,1,1,1,0,6/7/2011,6/7/2011,0,0,0,0,0,1,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,2,Site Permit,8/24/2007,2/5/2008,RH-1,,2011,5259033,2007.0465
2.00911E+11,389 UPPER TR,"REMOVE ILLEGAL KITCHEN CITED UNDER NOV# 200844392. REMOVE STOVE & CAP GAS LINE BACK TO SOURCE. SUBMIT AS BUILT PLANS FOR WORK INSPECTED & FINALED UNDER PA# 2008/08/18/9406: REMODEL 2 FULL BATHS, POWDER ROOM & WET BAR IN MEDIA ROOM. LEGALIZE FULL BATHROOM ON 1ST FLOOR.",1,1,0,-1,-1,0,6/7/2011,6/7/2011,0,0,0,0,0,-1,FALSE,8,Haight Ashbury,6 - Buena Vista,,3,Full Building Permit,4/9/2010,4/9/2010,RH-3,,2011,2629A025,
2.00809E+11,464 HICKORY ST,"LEGALIZE EXISTING GROUND FLOOR UNIT SUBJECTED TO NOV# 200730293. UPGRADE FIRE RESISTIVE WALLS. UPGRADE EXIT AT FRONT. KITCHEN, LIVING ROOM, BEDROOM & FULL BATH.",1,2,2,1,1,1,6/9/2011,6/9/2011,0,0,0,0,0,1,FALSE,5,Hayes Valley,5 - Western Addition,Market and Octavia,3,Full Building Permit,4/5/2011,4/5/2011,RTO,,2011,0830022A,2008.1257
2.00206E+11,586 LISBON ST,ERECT A THREE STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,6/10/2011,6/10/2011,0,0,0,0,0,1,FALSE,11,Excelsior,12 - South Central,,2,Full Building Permit,4/26/2006,4/26/2006,RH-1,,2011,6274016A,2003.0444
2.01007E+11,1574 45TH AV,REMOVE ILLEGAL KITCHEN FROM GARAGE AREA AND CAP ALL UTILITES AT SOURCE. LEGALIZE EXISTING BATHROOM AT GARAGE AREA.,1,1,0,-1,-1,0,6/10/2011,6/10/2011,0,0,0,0,0,-1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,8,Full Building Permit,7/29/2010,7/29/2010,RH-1,,2011,1890022,
2.01006E+11,1855 GENEVA AV,"To comply with NOV#s 200860445, 200861177. Reomove illegal unit, remove basement rooms, reloca. water heater, garage ceiling drywall, new interior stair from first/garage fl to 2nd floor above, new furnace, repair bottom of stair/ rotted wood",1,1,0,-1,-1,0,6/15/2011,6/15/2011,0,0,0,0,0,-1,FALSE,10,Visitacion Valley,12 - South Central,Visitacion Valley,8,Full Building Permit,6/8/2010,6/8/2010,RH-1,,2011,6327016,
2.01101E+11,51 SEVILLE ST,"CLEAR NOV 201065418, REMOVE ILLEGAL DWELLING AT GR FLOOR. RESTORE GARAGE TO ORIGINAL CONDITION, LEGALIZE WET BAR AREA, LAUNDRY AREA. FAMILY ROOM CONVERTED TO BEDROOM AT 2ND FLOOR.",1,1,0,-1,-1,0,6/15/2011,6/15/2011,0,0,0,0,0,-1,FALSE,11,Excelsior,12 - South Central,,8,Full Building Permit,1/26/2011,1/26/2011,RH-1,,2011,6443032,
2.00812E+11,1530V YORK ST,TO ERECT 2 FAMILY UNITS WITH 3 STORIES NEW BLDG.,0,2,2,2,2,0,6/16/2011,6/16/2011,0,0,0,0,0,2,FALSE,9,Bernal Heights,11 - Bernal Heights,,2,Site Permit,3/27/2009,3/27/2009,RH-2,,2011,5514004,2010.0939
2.00809E+11,485 CORBETT AV,"REMODEL EACH LEVEL OF AN E SINGLE FAMILY DWELLING AND ADD 1 ADDITIONAL UNIT WITH A SINGLE CAR GARAGE. UNIT 3: 2/BDRMS, 2 1/2 BATHS. BUILD INTO REQUIRED REAR YARD PER VARIANCE 20080722V.NEW DECKS AT REAR, NEW GARAGE DOORS AND FRONT ENTRY. N SPRINKLER SYSTEM UNDER SEP PERMIT",1,2,2,1,1,0,6/17/2011,6/17/2011,0,0,0,0,0,1,FALSE,8,Castro/Upper Market,7 - Central,,3,Site Permit,4/3/2009,5/19/2010,RH-2,,2011,2712003,2008.0722
2.00508E+11,3448 BALBOA ST,"ERECT 4 STORIES, 3 DWELLING UNITS WITH COMMERCIAL NEW BUILDING.",0,3,3,3,3,0,6/20/2011,6/20/2011,0,0,0,0,0,3,FALSE,1,Outer Richmond,1 - Richmond,,2,Full Building Permit,3/24/2009,3/24/2009,NCD-OUTER BALBOA STREET,,2011,1578014F,2010.0511
2.01102E+11,2949 PACIFIC AV,LEGALIZE UNIT 2949-B.   ADD KITCHEN APPROVED VARIANCE #2010.08.04V.,3,4,4,1,1,1,6/22/2011,6/22/2011,0,0,0,0,0,1,FALSE,2,Pacific Heights,2 - Marina,,3,Full Building Permit,4/20/2011,4/20/2011,RM-2,,2011,0976024,2010.0804
2.01001E+11,340 KEARNY ST,"T.I. FOR SHOE REPAIR SHOP. ACCESSIBILTY UPGRADES, 2 RESTROOMS, LIGHTING & ELECTRICAL THROUGHOUT. NEW STAIRWELL & DOOR TO BELDEN LANE. 2 STUDIO APARTMENTS ON LEVEL 3, ACCESS STAIR & HAYCH TO ROOF & WINDOW REPLACEMENT-SITE PERMIT.",0,2,2,2,2,0,6/23/2011,6/23/2011,0,0,0,0,0,2,FALSE,3,Financial District/South Beach,4 - Downtown,,3,Site Permit,6/4/2010,6/4/2010,C-3-O,,2011,0269008,
2.00812E+11,219 PRENTISS ST,CONSTRUCTION OF THREE STORIES SINGLE FAMILY DWELLING.,0,1,1,1,1,0,6/24/2011,6/24/2011,0,0,0,0,0,1,FALSE,9,Bernal Heights,11 - Bernal Heights,,2,Site Permit,8/9/2010,11/10/2010,RH-1,,2011,5654021,2009.0308
2.00907E+11,275 CHATTANOOGA ST,Remove one kitchen on second floor. Provide 1-hour fire rating guardraid/wall at future proposed new property line at rear bldg. Submit approved permit #2001.07.23.4269 to proof of 1-hr. rating of passageway of 275 Chattanooga St.,1,1,0,-1,-1,0,6/24/2011,6/24/2011,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,8,Full Building Permit,5/6/2011,5/6/2011,RH-2,,2011,3649018,
2.00812E+11,829 CORBETT AV,ERECT 5 STORIES OF 4 DWELLING UNITS APARTMENTS.,0,4,4,4,4,0,6/28/2011,6/28/2011,0,0,0,0,0,4,FALSE,8,Twin Peaks,7 - Central,,1,Site Permit,5/5/2010,9/27/2010,RM-1,,2011,2778016,
2.00705E+11,1030 MISSISSIPPI ST,"TO ERECT A NEW 3-STORY, 2 DWELLING UNITS BUILDING.",0,2,2,2,2,0,6/29/2011,6/29/2011,0,0,0,0,0,2,FALSE,10,Potrero Hill,9 - South of Market,Showplace Square/Potrero Hill (EN),2,Site Permit,10/27/2010,10/27/2010,RH-3,,2011,4224017,2007.0713
9924077S,855 JAMESTOWN AV,BLDG #11 - TO ERECT 4 STORY 36 UNIT RESIDENTIAL BLDG,0,36,36,36,36,0,6/29/2011,6/29/2011,0,14,22,0,36,0,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,2,Site Permit,3/28/2006,7/10/2006,RH-2,Inclu: Off-Site BMR,2011,4991277,1999.233
9924079S,857 JAMESTOWN AV,BLDG #4 - ERECT A 3 STORIES OF 12 DWELLING UNITS,0,12,12,12,12,0,6/29/2011,6/29/2011,0,0,12,0,12,0,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,2,Site Permit,3/28/2006,7/11/2006,RH-2,Inclu: Off-Site BMR,2011,4991277,1999.233
2.00904E+11,285 TURK ST,CONVERT (E) UNIT ON THE GROUND FLOOR INTO A LAUNDRY & GARBAGE ROOM. DEMO (E) WALLS & FIXTURES & REPLACE WITH PARTITIONS TO DIVIDE SPACE INTO 2 ROOMS. WORK UNDER THIS PERMIT IS LIMITED TO THE GROUND ONLY.,41,40,40,-1,-1,0,7/13/2011,7/13/2011,0,0,0,0,0,-1,FALSE,5,Tenderloin,4 - Downtown,,3,Full Building Permit,10/13/2009,10/13/2009,RC-4,,2011,0344006B,2009.04
2.01006E+11,84 RICHLAND AV,"COMPLY WITH CES NOV 200911785:  CONVERT REAR POTTING SHED INTO ART STUDIO INCLUDING FULL BATH, FIREPLACE. ADD 2ND UNIT AT GR FL INCLUDING FULL BATH, KITCHEN, BEDROOM, FIREPLACE. REMOVE ILLEGAL STAIRS AT 2ND FL TO ATTIC. ADD HATCH TO ATTIC.",1,2,2,1,1,0,7/13/2011,7/13/2011,0,0,0,0,0,1,FALSE,8,Bernal Heights,11 - Bernal Heights,,3,Full Building Permit,1/7/2011,1/7/2011,RH-2,,2011,6692065,
2.01106E+11,179 CRESTMONT DR,COMPLY WITH NOV 201115201. DEMO ILLEGAL DWELLING AT GR FLOOR. LEGAL FULL BATH AND STORAGE ROOM AT GR FL,1,1,0,-1,-1,0,7/14/2011,7/14/2011,0,0,0,0,0,-1,FALSE,7,Inner Sunset,14 - Inner Sunset,,8,Full Building Permit,6/24/2011,6/24/2011,RH-1(D),,2011,2675046,
2.00509E+11,137 PORTER ST,"TO ERECT 3 STORIES, 2 UNITS RESIDENTIAL BUILDING.",0,2,2,2,2,0,7/18/2011,7/18/2011,0,0,0,0,0,2,FALSE,9,Bernal Heights,11 - Bernal Heights,,2,Site Permit,6/13/2007,6/13/2007,RH-2,,2011,5826018,2006.0046
2.0001E+11,60 THERESA ST,REMOVE (2) EXISTING ILLEGAL IN-LAW UNITS INTO STORAGE,3,1,1,-2,-2,0,7/20/2011,7/20/2011,0,0,0,0,0,-2,FALSE,11,Outer Mission,12 - South Central,,8,Full Building Permit,10/31/2000,10/31/2000,RH-1,,2011,6799014,
2.00901E+11,47 CLARENDON AV,"ERECT A New construction of a single family residence. Mechanical, electrical & plumbing under separate permit.",0,1,1,1,1,0,7/21/2011,7/21/2011,0,0,0,0,0,1,FALSE,7,Twin Peaks,14 - Inner Sunset,,2,Site Permit,9/30/2009,3/24/2010,RH-1(D),,2011,2706048,2009.0444
2.01006E+11,1491 19TH AV,TO COMPLY WITH NOV 200988981 DATED 1/29/09. REVERT ILLEGAL BASEMENT DWELLING UNIT TO LAST LEGAL USE AS FAMILY ROOM PER PA 9117040. REMOVE KITCHEN & SHOWER FROM BATHROOM.,1,1,0,-1,-1,0,7/25/2011,7/25/2011,0,0,0,0,0,-1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,8,Full Building Permit,6/25/2010,6/25/2010,RH-2,,2011,1834013,
2.00505E+11,121 09TH ST,ERECT 5 STORIES 20 UNITS RESIDENTIAL/COMMERCIAL BUILDING,0,20,20,20,20,0,7/28/2011,7/28/2011,0,0,2,1,3,17,FALSE,6,South of Market,4 - Downtown,Western SoMa (EN),2,Site Permit,2/5/2010,5/25/2010,RCD,Incl: On-Site BMR,2011,3728069,2005.02
2.00707E+11,324 CORTLAND AV,ERECT: 1 THREE STORY (BUSINESS AND RESIDENTIAL) STRUCTURE,0,2,2,2,2,0,8/1/2011,8/1/2011,0,0,0,0,0,2,FALSE,9,Bernal Heights,11 - Bernal Heights,,2,Full Building Permit,2/19/2010,2/19/2010,NCD-CORTLAND AVENUE,,2011,5677022,2005.0857
2.01211E+11,154 HABITAT TR,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING. 154 HABITAT TERRACE.",0,1,1,1,1,0,10/25/2016,10/25/2016,0,0,0,0,0,1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Full Building Permit,10/8/2013,10/8/2013,RH-1,Incl: On-Site BMR,2016,7148051,2009.0112
2.01001E+11,3131 MISSION ST,CHANGE OF USE - CONVERT RESIDENTIAL 1ST FLOOR UNIT TO DENTAL OFFICE. REMODEL EXISTING BATHROOM TO COMPLY WITH 20% ADA REQUIREMENT.,2,1,1,-1,-1,0,8/1/2011,8/1/2011,0,0,0,0,0,-1,FALSE,9,Bernal Heights,11 - Bernal Heights,,3,Site Permit,9/21/2010,9/21/2010,NCD-MISSION BERNAL,,2011,5501048,2009.1004
2.00701E+11,3119 HARRISON ST,ERECT A NEW 3 STORIES 2 UNIT BUILDING.,0,2,2,2,2,0,8/3/2011,8/3/2011,0,0,0,0,0,2,FALSE,9,Bernal Heights,11 - Bernal Heights,,2,Site Permit,8/7/2008,8/7/2008,RH-2,,2011,5504001H,Multiple
2.01106E+11,1355 37TH AV,ABATEMENT OF NOV # 200986680. REMOVE 2 ILLEGAL BUILT KITCHEN ON  FIRT FLOOR. LEGALIZE 1 BATH TUB IN EXTG HALF BATH & LEGALIZE THE LAUNDRY ROOM AND FULL BATH AT GARAGE.,1,1,0,-1,-1,0,8/3/2011,8/3/2011,0,0,0,0,0,-1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,8,Full Building Permit,6/13/2011,6/13/2011,RH-1,,2011,1792004,
2.0091E+11,580 DIAMOND ST,TO DEMOLISH 1 STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,8/5/2011,8/5/2011,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,6,Full Building Permit,10/21/2010,10/21/2010,RH-2,,2011,2772016,2010.0642
2.0091E+11,580 DIAMOND ST,"TO ERECT 3 STORY BUILDING, 2 UNIT BUILDING",0,2,2,2,2,0,8/5/2011,8/5/2011,0,0,0,0,0,2,FALSE,8,Noe Valley,7 - Central,,2,Site Permit,10/21/2010,11/9/2010,RH-2,,2011,2772016,2010.0642
2.01105E+11,3400 LAGUNA ST,"Combine Units 302 & 303 to 1 unit, renovate the bathroom and add new bar type kitchen with no cooking facility. Combine Units 402 & 403 to 1 unit,renovate the bathrm and add new bar type kitchen w/ no cooking facility. Unit 206 bathroom renovation. Fire Life Safety on separate permit.",170,168,168,-2,-2,0,8/10/2011,8/10/2011,0,0,0,0,0,-2,FALSE,2,Marina,2 - Marina,,8,Full Building Permit,5/18/2011,5/18/2011,RM-1,,2011,0471003,
2.00902E+11,167 16TH AV,"REAR HORIZONTAL AND VERTICAL ADDITION. INTERIOR RENOVATION OF E HOUSE. CREATION OF NEW IN LAW UNIT ON GROUND FLOOR PLUS RECONFIGURE FOR 2 CAR TANDEM PARKING. 2ND FL KTCN REMODEL,NEW GREAT/GAME RM,LAUNDRY,DECK. 3RD FL NEW BATH,CLOSET,REAR DECK",1,2,2,1,1,0,8/12/2011,8/12/2011,0,0,0,0,0,1,FALSE,1,Outer Richmond,1 - Richmond,,3,Site Permit,4/22/2010,4/22/2010,RH-2,,2011,1376014,
2.01012E+11,4209 24TH ST,"DEMOLISH 2 STORIES, TYPE 5, SINGLE FAMILY DWELLING UNIT BUILDING.",1,0,0,-1,-1,0,8/12/2011,8/12/2011,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,6,Full Building Permit,5/10/2011,5/10/2011,RH-2,,2011,6505047,2009.0365
2.00402E+11,2900 FULTON ST,REDUCE SIZE OF (E)COMM'L SPACE & ADD 3 STORIES 4 UNITS RESIDENTIAL CONDO WITH GARAGE. TO COMPLY NOV# 200342453 - DEMOLITION OF INTERIOR.,0,4,4,4,4,0,8/15/2011,8/15/2011,0,0,0,0,0,4,FALSE,1,Inner Richmond,1 - Richmond,,3,Site Permit,7/2/2009,5/24/2010,NC-1,,2011,1648017,2005.1093
9605515,1575 20TH AV,DEMOLITION OF 2 STORY 2 FAMILY DWELLING,2,0,0,-2,-2,0,8/16/2011,8/16/2011,0,0,0,0,0,-2,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,6,Full Building Permit,10/16/1996,10/16/1996,RH-2,,2011,1866015,
2.01108E+11,487 SUNRISE WY,"DEMOLISH UNIT IN REAR WITH NO PERMIT CORRECTIONS VIOLATION # 200558884.  APPROX (20'-9"" X 21' X4"").  CAP ELECTRICAL",1,1,0,-1,-1,0,8/17/2011,8/17/2011,0,0,0,0,0,-1,FALSE,10,Visitacion Valley,12 - South Central,Visitacion Valley,8,Full Building Permit,8/2/2011,8/2/2011,RH-1,,2011,6374024,
2.00707E+11,3947 26TH ST,"dwelling unit merger. addition to first floor/garage, remove 3rd floor kitchen, & add a deck of m. bedroom. on 2nd floor renovate kitchen and add 83sf to wnd floor remove existing third floor deck and a deck at grade on second floor.",2,1,1,-1,-1,0,8/22/2011,8/22/2011,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,3,Site Permit,2/22/2008,2/22/2008,RH-2,,2011,6565039,2007.1012
9906780S,3407 FOLSOM ST,ERECT A THREE STORY ONE UNIT RESIDENTIAL BLDG,0,1,1,1,1,0,8/22/2011,8/22/2011,0,0,0,0,0,1,FALSE,9,Bernal Heights,11 - Bernal Heights,,2,Site Permit,5/6/2010,5/6/2010,RH-2,,2011,5549041,
2.01104E+11,2509 BUSH ST,"COVERSION OF EXTG 2 UNIT (R) OCCUPANCY TO (E) OCUPANCY DAY-CARE(PRE-SCHOOL). REMODEL (E) BATHROOMS, PARTITION WALLS, RATED WALLS AT BASEMENT, RE-BUILD THE REAR STAIR WAY PARTIAL AND SPRINKLER THE ENTIRE BLDG.",2,0,0,-2,-2,0,8/30/2011,8/30/2011,0,0,0,0,0,-2,FALSE,2,Pacific Heights,5 - Western Addition,,3,Full Building Permit,6/3/2011,6/3/2011,NC-3,,2011,1051032,
2.01005E+11,1269 LOMBARD ST,DEMOLISH 1 DWELLING UNIT,1,0,0,-1,-1,0,8/31/2011,8/31/2011,0,0,0,0,0,-1,FALSE,3,Russian Hill,3 - Northeast,,6,Full Building Permit,3/15/2011,3/15/2011,RH-2,,2011,0501023,2010.0669
2.00609E+11,271 RIPLEY ST,"CORRECT USAGE # OF DWELLING UNITS FROM 2 TO 1 UNIT. NO ALTERATIONS TO PLAN, NO ADDITIONAL WORK TO BE DONE.",2,1,1,-1,-1,0,9/1/2011,9/1/2011,0,0,0,0,0,-1,FALSE,9,Bernal Heights,11 - Bernal Heights,,3,Full Building Permit,10/20/2006,10/20/2006,RH-2,,2011,5541004,
2.01011E+11,80 JULIAN AV #0,"DEMOLISH 3 STORIES, 14 GUEST ROOMS, TYPE 5 RESIDENTIAL BUILDING.",14,0,0,-14,-14,0,9/2/2011,9/2/2011,0,0,0,0,0,-14,FALSE,9,Mission,8 - Mission,Mission (EN),6,Full Building Permit,5/3/2011,5/3/2011,NCT-VALENCIA,,2011,3547027,
2.01102E+11,2700 DIAMOND ST,"REMOVAL OF LOWER LEVEL, ILLEGAL STUDIO AND DECK WITH NO ADDRESS.  REPLACE GARAGE DOOR. REMOVAL OF EXISTING LOWER LEVEL DOOR.",2,2,0,-2,-2,0,9/2/2011,9/2/2011,0,0,0,0,0,-2,FALSE,8,Glen Park,7 - Central,,8,Full Building Permit,2/4/2011,2/4/2011,RH-2,,2011,6740024,
2.00612E+11,2400 BALBOA ST,"ADD 2 STORIES TO EXISTING 2 STORY BUILDING WIDEN GARAGE DOOR FOR 2 CARS REMODEL EXISTING GARAGE AND SECOND FLOOR NEW TOWN HOUSE UNIT ON 3RD AND 4TH FLOOR, REPLACE ALL WINDOWS AND HEATING SYSTEMS, NEW REAR STAIRS AND EXTERIOR FINISH MATERIAL TO BE REPLACED.",1,2,2,1,1,0,9/6/2011,9/6/2011,0,0,0,0,0,1,FALSE,1,Outer Richmond,1 - Richmond,,3,Site Permit,11/6/2007,11/6/2007,RH-2,,2011,1568011D,
